thread,activation,varDict,count,lock,kind,scope,executable,line,prefix,source,package,raw
"T1","A9","V3","00001","*","method","GlobalVariable","DECLARE",".",">V>","VALUE => ""The indeterminate value""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A9","V3","00001","*","method","GlobalVariable","DECLARE",".",">A>","""The indeterminate value""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A9","V3","00001","*","method","GlobalVariable","DECLARE",".",">V>","NAME => ""INDETERMINATE""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A9","V3","00001","*","method","GlobalVariable","DECLARE",".",">A>","""INDETERMINATE""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A11",".",".",".","routine",".","<prolog>",".",">I>",".","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A11",".",".",".","routine",".","<prolog>","11","*-*",".infinity~initialize","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A11",".",".",".","routine",".","<prolog>",".",">E>",".INFINITY => ""The infinity class""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4",".",".","method","infinity","INITIALIZE",".",">I>",".","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE","31","*-*","self~negative = self~new(""The negative infinity"", -1)","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">V>","SELF => ""The infinity class""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">V>","SELF => ""The infinity class""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">L>","""The negative infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">A>","""The negative infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">L>","""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">P>","""-"" => ""-1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">A>","""-1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A13","V5",".",".","method","infinity","INIT",".",">I>",".","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A13","V5","00001","*","method","infinity","INIT","75","*-*","use strict arg objectName, direction","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A13","V5","00001","*","method","infinity","INIT",".",">>>","""The negative infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A13","V5","00001","*","method","infinity","INIT",".",">=>","OBJECTNAME <= ""The negative infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A13","V5","00001","*","method","infinity","INIT",".",">>>","""-1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A13","V5","00001","*","method","infinity","INIT",".",">=>","DIRECTION <= ""-1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A13","V5","00001","*","method","infinity","INIT","76","*-*","self~objectName = objectName","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A13","V5","00001","*","method","infinity","INIT",".",">V>","SELF => ""an infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A13","V5","00001","*","method","infinity","INIT",".",">V>","OBJECTNAME => ""The negative infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A13","V5","00001","*","method","infinity","INIT",".",">A>","""The negative infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A13","V5","00001","*","method","infinity","INIT","77","*-*","self~direction = direction","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A13","V5","00001","*","method","infinity","INIT",".",">V>","SELF => ""The negative infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
